                    combo28    att406    att622   guard18     id868     id740    small4     att10
        IDLE + 3.2s         1         1         1         0         0         0  1060695040  1053665408
        IDLE + 3.2s         1         1         1         0         0         0  1060780032  1053665408
        IDLE + 3.3s         0         1         0         0         0         0  1106948256     27415
        IDLE + 3.3s         0         1         0         4         0         0  1106948256     27415
        IDLE + 3.3s         0         1         0         6         0         0  1106948256     27415
        IDLE + 3.4s         0         1         0        11         0         0  1061677056     27415
        IDLE + 3.4s         0         1         0         1         0         0  1061677056     27415
        IDLE + 3.4s         0  1065353216         0         0         0         0  1061677056     27415
        IDLE + 3.5s         0  1065353216       552        32         0       514  1061677056  1006632960
        IDLE + 3.5s         0  1065353216       552         1         0         0         0  1006632960
        IDLE + 3.5s         0  1065353216       552         0         0         0         0  1006632960
        IDLE + 3.6s         0  1065353216       552         0         0         0  1065916928  1006632960
        IDLE + 3.6s         0  1065353216       552         0         0       953        11  1006632960
        IDLE + 3.6s         0         1         0         1         0         0        32     27415
        IDLE + 3.7s         0         1         0         0       868         0         1     27415
        IDLE + 3.7s         0         1         0         0         0         0        14     27415
        IDLE + 3.7s         1         1         1         0         0         0        14     27415
        IDLE + 3.8s         1         1         1         0         0         0  1064351744     27415
        IDLE + 3.8s         1         1         1         1         0         0         4     27415
        IDLE + 3.8s         1         1         1         0         0         0         4     27415
        IDLE + 3.9s         1         1         1         0         0       957         4     27415
        IDLE + 3.9s         1         1         1         1         0         0  1065124864     27415
        IDLE + 3.9s         1         1         1         1         0         0        21  3158394880
        IDLE + 3.9s         1         1         1        24         0         0  1069660160  3158394880
        IDLE + 4.0s         1         1         1         0         0         0  1069660160  3158394880
    1 ATTACK + 0.0s         0  979763200         0         0         0         0  1103677408         0
    1 ATTACK + 0.1s         0  979763200         0         1         0         0         0         0
    1 ATTACK + 0.1s         0  979763200         0         0         0  1142691244  1102663488         0
    1 ATTACK + 0.1s         0  979763200         0         1         0         0  1072768512         0
    1 ATTACK + 0.2s         0  1056964608         0         0         0         0  1072768512         0
    1 ATTACK + 0.2s         0  1056964608         0         1         0         0  1072768512  4294967295
    1 ATTACK + 0.2s         0  1056964608         0         0         0         0  1073090560  4294967295
    1 ATTACK + 0.3s         0  1056964608         0         0         0         0         1  4294967295
    1 ATTACK + 0.3s         0         1         0         1         0         0         1     27415
    1 ATTACK + 0.4s         0         1         0         0         0  1142691244         1     27415
    1 ATTACK + 0.4s         0         1         0         7         0  1142691244         1     27415
    1 ATTACK + 0.4s         0         1         0         4         0  1142691244         1     27415
    1 ATTACK + 0.5s         0         1         0         6         0         0         1     27415
    1 ATTACK + 0.5s         0         0         0         0         0         0         1     27415
    1 ATTACK + 0.5s         0         0         0         0         0         0  1073716736     27415
    1 ATTACK + 0.6s         0         0         0         1         0         0         5     27415
    1 ATTACK + 0.6s         0         0         0         0         0         0         1     27415
    1 ATTACK + 0.6s         0         0         0         0         0         0         0     27415
    1 ATTACK + 0.6s         0  984505580         0         1         0         0         0     27415
    1 ATTACK + 0.7s  1065353216  984505580  1065353216         0         0         0         0  1073741824
    1 ATTACK + 0.7s  1065353216  984505580  1065353216         1         0         0         1  1073741824
    1 ATTACK + 0.7s  1065353216  984505580  1065353216        24         0         0         1  1073741824
    1 ATTACK + 0.8s  1065353216  984505580  1065353216         1         0         0         1  1073741824
    1 ATTACK + 0.8s  1065353216  984505580  1065353216         0         0         0         0  1073741824
    1 ATTACK + 0.8s  1065353216  1065353216  1065353216         1         0         0  1074066688  1073741824
    1 ATTACK + 0.9s  1065353216  1065353216  1065353216         1         0         0  1102976640  1073741824
    1 ATTACK + 0.9s  1065353216  1065353216  1065353216        32         0         0         0  1073741824
    1 ATTACK + 0.9s  1065353216  1065353216  1065353216         1         0         0         1  1073741824
    1 ATTACK + 1.0s  1065353216  1065353216  1065353216         0         0         0         1  1109413865
    1 ATTACK + 1.0s  1065353216  1065353216  1065353216         0         0         0         0  1109413865
    1 ATTACK + 1.1s  1065353216  1065353216  1065353216         0         0         0         1  1109413865
    1 ATTACK + 1.1s  1065353216  1065353216  1065353216        32         0         0         1  1109413865
    1 ATTACK + 1.1s  1065353216  1065353216  1065353216         2         0       750         1  1109413865
    1 ATTACK + 1.2s  1065353216  1065353216  1065353216         1         0         0         1         0
    1 ATTACK + 1.2s  1065353216  1065353216  1065353216         0         0         0  1106119648         0
    1 ATTACK + 1.2s  1065353216  1065353216  1065353216        18         0         0         1         0
    1 ATTACK + 1.3s  1065353216  1065353216  1065353216         9         0         0         1         0
    1 ATTACK + 1.3s  1065353216  1050253722  1065353216         9         0         0         0         0
    1 ATTACK + 1.3s  1065353216  1050253722  1065353216         0         0         0  1074648064         0
    1 ATTACK + 1.3s  1065353216  1050253722  1065353216         0         0         0  1074661376         0
    1 ATTACK + 1.4s  1065353216  1050253722  1065353216         0         0         0  1102532032         0
    1 ATTACK + 1.4s  1065353216  1050253722  1065353216         0         0       934         1         0
    1 ATTACK + 1.4s  1065353216  1050253722  1065353216         0         0       934         1  1023258624
    1 ATTACK + 1.5s  1065353216  1050253722  1065353216         0         0         0         1  1023258624
    1 ATTACK + 1.5s  1065353216  1050253722  1065353216         2         0         0        20  1023258624
    1 ATTACK + 1.5s  1065353216  1050253722  1065353216         9       868       925         2  1023258624
    1 ATTACK + 1.6s  1065353216  1050253722  1065353216        24         0       440        24  1023258624
    1 ATTACK + 1.6s  1065353216  1050253722  1065353216         1         0         0        24  1023258624
    1 ATTACK + 1.6s  1065353216         0  1065353216        32         0         0  1074972672  1023258624
    1 ATTACK + 1.7s  1065353216         0  1065353216         1         0         0         0  1023258624
